id,linearization,importanceSampling
1,-97.083818,-96.999060
2,-103.690362,-103.544626
3,-98.671845,-98.481848
4,-106.282287,-106.129476
5,-92.304317,-91.947849
6,-104.150608,-104.027364
7,-96.907930,-96.781555
8,-86.537617,-86.471452
9,-99.687134,-99.526680
10,-99.584424,-99.561064
11,-99.363715,-99.271733
12,-94.146987,-94.202590
13,-108.994246,-108.905021
14,-102.509236,-102.401228
15,-108.304045,-108.171553
16,-89.297386,-89.377932
17,-101.471759,-101.450248
18,-101.479802,-101.396461
19,-111.815235,-111.694172
20,-96.946347,-96.905907
21,-100.281259,-100.206541
22,-63.716495,-63.798832
23,-92.049357,-91.945744
24,-91.264332,-90.915642
25,-96.131423,-96.021712
26,-101.509828,-101.485371
27,-103.723288,-103.621915
28,-96.457660,-96.433046
29,-105.045215,-104.913756
30,-100.343770,-100.191087
31,-95.447106,-95.314525
32,-93.005584,-92.921892
33,-94.087750,-94.004249
34,-97.760088,-97.664572
35,-103.797030,-103.714516
36,-99.484980,-99.419551
37,-107.501157,-107.359054
38,-103.300320,-103.073952
39,-71.732058,-70.717953
40,-74.815767,-74.854405
41,-91.054254,-91.057927
42,-92.719261,-92.462761
43,-92.317797,-92.127653
44,-91.229364,-91.077883
45,-103.435773,-103.313758
46,-101.668559,-101.512395
47,-78.855991,-78.950700
48,-82.957742,-82.995238
49,-105.513309,-105.435573
50,-105.447549,-105.360921
51,-106.591009,-106.417675
52,-83.881559,-83.920258
53,-96.460708,-96.266101
54,-101.615087,-101.480173
55,-101.870853,-101.760731
56,-103.372221,-103.262122
57,-85.827781,-85.337888
58,-100.591012,-100.454160
59,-98.972995,-98.922309
60,-95.877946,-95.815301
61,-105.627376,-105.525392
62,-100.994669,-100.849466
63,-103.825631,-103.697249
64,-91.664835,-91.715392
65,-94.019778,-93.944645
66,-103.039695,-102.975363
67,-108.260708,-108.099311
68,-102.218470,-102.143450
69,-110.026554,-109.919748
70,-59.016351,-58.978638
71,-106.177101,-106.063437
72,-93.627047,-93.383477
73,-98.197644,-98.109399
74,-94.016127,-93.979351
75,-104.196731,-104.105078
76,-91.650067,-91.267969
77,-89.801498,-89.370109
78,-99.013830,-98.978347
79,-85.265056,-85.200181
80,-78.905581,-78.922229
81,-70.088332,-70.089750
82,-102.387246,-102.272609
83,-83.120615,-82.804500
84,-99.970997,-99.823172
85,-92.669047,-92.467664
86,-59.265265,-58.700146
87,-93.207094,-93.277730
88,-87.329344,-87.266592
89,-100.265281,-100.255159
90,-87.995667,-87.738834
91,-91.816257,-91.783821
92,-87.706960,-87.787486
93,-111.538004,-111.456462
94,-74.296633,-74.342652
95,-89.838016,-89.888733
96,-113.293783,-113.164087
97,-92.653281,-92.630644
98,-97.472687,-97.510056
99,-95.579335,-95.507804
100,-71.124308,-71.048034
