run_idx,run_name,parameter,estimate,se,rse,type
1,run001,Vd_pop,64.8632,2.4343,3.753,Typical values
1,run001,CL_pop,3.798,0.1122,2.953,Typical values
1,run001,Ka_pop,0.9969,0.133,13.3368,Typical values
1,run001,omega_Vd,0.3481,0.0205,5.888,Random effects
1,run001,omega_CL,0.2728,0.0184,6.7472,Random effects
1,run001,omega_Ka,0.8201,0.0595,7.2589,Random effects
1,run001,b,0.1402,0.0062,4.4459,Residual error model
2,run002,Vd_pop,70.1663,2.6685,3.8031,Typical values
2,run002,CL_pop,4.005,0.1183,2.9543,Typical values
2,run002,Ka_pop,0.8231,0.0762,9.2568,Typical values
2,run002,omega_Vd,0.3424,0.0214,6.2369,Random effects
2,run002,omega_CL,0.2653,0.0187,7.0528,Random effects
2,run002,omega_Ka,0.5807,0.0393,6.7702,Random effects
2,run002,b,0.1407,0.0062,4.3913,Residual error model
3,run003,Vd_pop,66.8222,2.443,3.656,Typical values
3,run003,CL_pop,4.005,0.1157,2.8899,Typical values
3,run003,Ka_pop,0.9436,0.1079,11.4328,Typical values
3,run003,omega_Vd,0.3274,0.0202,6.1775,Random effects
3,run003,omega_CL,0.2591,0.0187,7.2027,Random effects
3,run003,omega_Ka,0.7363,0.0545,7.3972,Random effects
3,run003,b,0.1474,0.0065,4.4428,Residual error model
4,run004,Vd_pop,64.9071,2.3189,3.5727,Typical values
4,run004,CL_pop,4.107,0.1235,3.0082,Typical values
4,run004,Ka_pop,0.9697,0.1095,11.2895,Typical values
4,run004,omega_Vd,0.3281,0.017,5.1873,Random effects
4,run004,omega_CL,0.2754,0.018,6.5284,Random effects
4,run004,omega_Ka,0.7759,0.036,4.637,Random effects
4,run004,b,0.1328,0.0055,4.134,Residual error model
5,run005,Vd_pop,64.1998,2.477,3.8583,Typical values
5,run005,CL_pop,3.8224,0.1383,3.6177,Typical values
5,run005,Ka_pop,0.9851,0.1079,10.951,Typical values
5,run005,omega_Vd,0.363,0.0203,5.5871,Random effects
5,run005,omega_CL,0.3454,0.0218,6.3177,Random effects
5,run005,omega_Ka,0.6841,0.0444,6.4959,Random effects
5,run005,b,0.1321,0.006,4.507,Residual error model
6,run006,Vd_pop,64.1507,2.1996000000000002,3.4289,Typical values
6,run006,CL_pop,4.2689,0.15310000000000001,3.5865,Typical values
6,run006,Ka_pop,0.756,0.08,10.582,Typical values
6,run006,omega_Vd,0.2762,0.0185,6.6976,Random effects
6,run006,omega_CL,0.3439,0.0227,6.5963,Random effects
6,run006,omega_Ka,0.7042,0.0528,7.4948,Random effects
6,run006,b,0.1432,0.0065,4.5167,Residual error model
7,run007,Vd_pop,66.0772,2.487,3.7638,Typical values
7,run007,CL_pop,3.9002,0.1225,3.1397,Typical values
7,run007,Ka_pop,0.8752,0.0964,11.0151,Typical values
7,run007,omega_Vd,0.3463,0.0213,6.1518,Random effects
7,run007,omega_CL,0.2876,0.0197,6.8538,Random effects
7,run007,omega_Ka,0.7242,0.0536,7.402,Random effects
7,run007,b,0.1389,0.0064,4.6307,Residual error model
8,run008,Vd_pop,68.1939,2.6025,3.8164,Typical values
8,run008,CL_pop,3.8726,0.15,3.8725,Typical values
8,run008,Ka_pop,1.0925,0.1507,13.7967,Typical values
8,run008,omega_Vd,0.3545,0.0223,6.2831,Random effects
8,run008,omega_CL,0.3524,0.0238,6.7575,Random effects
8,run008,omega_Ka,0.7098,0.0663,9.3338,Random effects
8,run008,b,0.1494,0.0065,4.3358,Residual error model
9,run009,Vd_pop,67.5218,2.6733,3.9591,Typical values
9,run009,CL_pop,4.0339,0.1425,3.5314,Typical values
9,run009,Ka_pop,0.8655,0.0724,8.3679,Typical values
9,run009,omega_Vd,0.3708,0.0206,5.5602,Random effects
9,run009,omega_CL,0.3383,0.0211,6.2368,Random effects
9,run009,omega_Ka,0.4911,0.031,6.3187,Random effects
9,run009,b,0.1419,0.0059,4.1588,Residual error model
10,run010,Vd_pop,69.7305,2.8971,4.1547,Typical values
10,run010,CL_pop,3.8212,0.1443,3.7771,Typical values
10,run010,Ka_pop,1.0186,0.1256,12.3289,Typical values
10,run010,omega_Vd,0.4059,0.0234,5.7738,Random effects
10,run010,omega_CL,0.3506,0.0222,6.342,Random effects
10,run010,omega_Ka,0.7609,0.0626,8.2271,Random effects
10,run010,b,0.1322,0.006,4.5655,Residual error model
11,run011,Vd_pop,68.815,2.546,3.6998,Typical values
11,run011,CL_pop,4.1634,0.1405,3.3755,Typical values
11,run011,Ka_pop,0.8045,0.0831,10.3306,Typical values
11,run011,omega_Vd,0.3405,0.0207,6.0754,Random effects
11,run011,omega_CL,0.3098,0.0207,6.6657,Random effects
11,run011,omega_Ka,0.5839,0.059,10.1034,Random effects
11,run011,b,0.1479,0.0067,4.5064,Residual error model
12,run012,Vd_pop,69.2922,2.7169,3.921,Typical values
12,run012,CL_pop,4.0369,0.124,3.0723,Typical values
12,run012,Ka_pop,0.8487,0.0842,9.9158,Typical values
12,run012,omega_Vd,0.368,0.0213,5.7762,Random effects
12,run012,omega_CL,0.2821,0.0186,6.6094,Random effects
12,run012,omega_Ka,0.6289,0.0377,5.9963,Random effects
12,run012,b,0.138,0.0058,4.2347,Residual error model
13,run013,Vd_pop,66.0825,2.28,3.4502,Typical values
13,run013,CL_pop,4.0609,0.1249,3.0766,Typical values
13,run013,Ka_pop,1.0192,0.1489,14.6138,Typical values
13,run013,omega_Vd,0.3059,0.0202,6.6142,Random effects
13,run013,omega_CL,0.2877,0.0191,6.6395,Random effects
13,run013,omega_Ka,0.9129,0.0774,8.4802,Random effects
13,run013,b,0.1342,0.0061,4.5791,Residual error model
14,run014,Vd_pop,65.7583,2.5085,3.8147,Typical values
14,run014,CL_pop,4.1708,0.1328,3.1838,Typical values
14,run014,Ka_pop,0.9564,0.1311,13.7109,Typical values
14,run014,omega_Vd,0.3466,0.02,5.775,Random effects
14,run014,omega_CL,0.3099,0.0191,6.167,Random effects
14,run014,omega_Ka,0.9259,0.0524,5.6583,Random effects
14,run014,b,0.1286,0.0056,4.3262,Residual error model
15,run015,Vd_pop,68.1197,2.5,3.6699,Typical values
15,run015,CL_pop,3.9303,0.1427,3.6311,Typical values
15,run015,Ka_pop,0.9458,0.106,11.2064,Typical values
15,run015,omega_Vd,0.3398,0.0214,6.292,Random effects
15,run015,omega_CL,0.3482,0.0225,6.4484,Random effects
15,run015,omega_Ka,0.6941,0.059,8.4968,Random effects
15,run015,b,0.1389,0.0064,4.5963,Residual error model
16,run016,Vd_pop,64.6096,2.2322,3.4549,Typical values
16,run016,CL_pop,3.7878,0.1174,3.0999,Typical values
16,run016,Ka_pop,1.0644,0.121,11.3676,Typical values
16,run016,omega_Vd,0.3196,0.02,6.2558,Random effects
16,run016,omega_CL,0.2877,0.0194,6.7331,Random effects
16,run016,omega_Ka,0.6229,0.0537,8.6296,Random effects
16,run016,b,0.1419,0.0062,4.3571,Residual error model
17,run017,Vd_pop,66.0854,2.2904,3.4657,Typical values
17,run017,CL_pop,3.841,0.1374,3.5771,Typical values
17,run017,Ka_pop,1.046,0.1116,10.6663,Typical values
17,run017,omega_Vd,0.3275,0.0202,6.1696,Random effects
17,run017,omega_CL,0.3478,0.0223,6.3989,Random effects
17,run017,omega_Ka,0.6324,0.0565,8.9273,Random effects
17,run017,b,0.1355,0.0061,4.5053,Residual error model
18,run018,Vd_pop,76.9111,2.7956,3.6349,Typical values
18,run018,CL_pop,4.0786,0.1443,3.5391,Typical values
18,run018,Ka_pop,1.0108,0.1163,11.5061,Typical values
18,run018,omega_Vd,0.3316,0.0216,6.5133,Random effects
18,run018,omega_CL,0.3281,0.0219,6.6734,Random effects
18,run018,omega_Ka,0.6395,0.0481,7.5273,Random effects
18,run018,b,0.1386,0.0061,4.3786,Residual error model
19,run019,Vd_pop,62.4152,2.6095,4.1809,Typical values
19,run019,CL_pop,4.0599,0.1368,3.3703,Typical values
19,run019,Ka_pop,0.77,0.1011,13.1253,Typical values
19,run019,omega_Vd,0.3656,0.0219,5.981,Random effects
19,run019,omega_CL,0.3121,0.0203,6.5134,Random effects
19,run019,omega_Ka,0.9373,0.0593,6.3275,Random effects
19,run019,b,0.1378,0.0059,4.2902,Residual error model
20,run020,Vd_pop,62.9025,2.6378,4.1935,Typical values
20,run020,CL_pop,3.8443,0.125,3.2512,Typical values
20,run020,Ka_pop,0.9591,0.1103,11.4972,Typical values
20,run020,omega_Vd,0.3944,0.0213,5.4005,Random effects
20,run020,omega_CL,0.3042,0.0202,6.6452,Random effects
20,run020,omega_Ka,0.7773,0.0553,7.1172,Random effects
20,run020,b,0.1368,0.006,4.3801,Residual error model
21,run021,Vd_pop,61.6052,2.4486,3.9746,Typical values
21,run021,CL_pop,3.8911,0.1294,3.3246000000000002,Typical values
21,run021,Ka_pop,0.9159,0.1273,13.9025,Typical values
21,run021,omega_Vd,0.3539,0.0224,6.3265,Random effects
21,run021,omega_CL,0.3089,0.0204,6.6031,Random effects
21,run021,omega_Ka,0.935,0.0597,6.386,Random effects
21,run021,b,0.1395,0.0062,4.4141,Residual error model
22,run022,Vd_pop,74.6852,3.1694,4.2436,Typical values
22,run022,CL_pop,3.7836,0.1315,3.4754,Typical values
22,run022,Ka_pop,0.8944,0.0992,11.0962,Typical values
22,run022,omega_Vd,0.3942,0.0251,6.3611,Random effects
22,run022,omega_CL,0.3064,0.022,7.1655,Random effects
22,run022,omega_Ka,0.6436,0.0487,7.561,Random effects
22,run022,b,0.153,0.0068,4.4216,Residual error model
23,run023,Vd_pop,68.9226,2.4651,3.5766,Typical values
23,run023,CL_pop,3.8909,0.1455,3.7401,Typical values
23,run023,Ka_pop,0.8333,0.0772,9.2693,Typical values
23,run023,omega_Vd,0.3293,0.0198,6.0077,Random effects
23,run023,omega_CL,0.3646,0.0229,6.2691,Random effects
23,run023,omega_Ka,0.5385,0.0468,8.6933,Random effects
23,run023,b,0.1342,0.0061,4.5624,Residual error model
24,run024,Vd_pop,64.697,2.7907,4.3135,Typical values
24,run024,CL_pop,4.165,0.141,3.385,Typical values
24,run024,Ka_pop,0.7658,0.0784,10.2418,Typical values
24,run024,omega_Vd,0.4078,0.0221,5.4109,Random effects
24,run024,omega_CL,0.3199,0.02,6.2473,Random effects
24,run024,omega_Ka,0.6474,0.044,6.7908,Random effects
24,run024,b,0.1328,0.0059,4.4544,Residual error model
25,run025,Vd_pop,70.0157,2.7136,3.8758,Typical values
25,run025,CL_pop,3.9046,0.1257,3.2203,Typical values
25,run025,Ka_pop,1.1136,0.1569,14.0926,Typical values
25,run025,omega_Vd,0.3659,0.0209,5.7211,Random effects
25,run025,omega_CL,0.2979,0.0164,5.5077,Random effects
25,run025,omega_Ka,0.956,0.0563,5.8869,Random effects
25,run025,b,0.132,0.0061,4.6063,Residual error model
26,run026,Vd_pop,66.298,2.5454,3.8392,Typical values
26,run026,CL_pop,3.8432,0.1272,3.3109,Typical values
26,run026,Ka_pop,1.0138,0.1085,10.699,Typical values
26,run026,omega_Vd,0.3616,0.0213,5.8813,Random effects
26,run026,omega_CL,0.3089,0.0208,6.7469,Random effects
26,run026,omega_Ka,0.6546,0.0475,7.2591,Random effects
26,run026,b,0.1449,0.0065,4.4715,Residual error model
27,run027,Vd_pop,65.106,2.4897,3.824,Typical values
27,run027,CL_pop,4.0336,0.1213,3.008,Typical values
27,run027,Ka_pop,1.0482,0.09,8.5817,Typical values
27,run027,omega_Vd,0.3658,0.0205,5.5991,Random effects
27,run027,omega_CL,0.2925,0.0184,6.2957,Random effects
27,run027,omega_Ka,0.4502,0.0302,6.7112,Random effects
27,run027,b,0.1387,0.0062,4.4372,Residual error model
28,run028,Vd_pop,67.3825,2.5211,3.7414,Typical values
