run_idx,run_name,run_dir,control_file,dataset_file,status,message,runtime_sec
1,run001,test-sg-fit/simurg-projects/run001,test-sg-fit/simurg-projects/run001/run001.json,test-sg-fit/datasets/dataset_001.csv,skipped,Simurg results already present,NA
2,run002,test-sg-fit/simurg-projects/run002,test-sg-fit/simurg-projects/run002/run002.json,test-sg-fit/datasets/dataset_002.csv,skipped,Simurg results already present,NA
3,run003,test-sg-fit/simurg-projects/run003,test-sg-fit/simurg-projects/run003/run003.json,test-sg-fit/datasets/dataset_003.csv,skipped,Simurg results already present,NA
4,run004,test-sg-fit/simurg-projects/run004,test-sg-fit/simurg-projects/run004/run004.json,test-sg-fit/datasets/dataset_004.csv,skipped,Simurg results already present,NA
5,run005,test-sg-fit/simurg-projects/run005,test-sg-fit/simurg-projects/run005/run005.json,test-sg-fit/datasets/dataset_005.csv,skipped,Simurg results already present,NA
6,run006,test-sg-fit/simurg-projects/run006,test-sg-fit/simurg-projects/run006/run006.json,test-sg-fit/datasets/dataset_006.csv,skipped,Simurg results already present,NA
7,run007,test-sg-fit/simurg-projects/run007,test-sg-fit/simurg-projects/run007/run007.json,test-sg-fit/datasets/dataset_007.csv,skipped,Simurg results already present,NA
8,run008,test-sg-fit/simurg-projects/run008,test-sg-fit/simurg-projects/run008/run008.json,test-sg-fit/datasets/dataset_008.csv,skipped,Simurg results already present,NA
9,run009,test-sg-fit/simurg-projects/run009,test-sg-fit/simurg-projects/run009/run009.json,test-sg-fit/datasets/dataset_009.csv,skipped,Simurg results already present,NA
10,run010,test-sg-fit/simurg-projects/run010,test-sg-fit/simurg-projects/run010/run010.json,test-sg-fit/datasets/dataset_010.csv,skipped,Simurg results already present,NA
11,run011,test-sg-fit/simurg-projects/run011,test-sg-fit/simurg-projects/run011/run011.json,test-sg-fit/datasets/dataset_011.csv,completed,CyberneticCore fit finished,4.359999999999673
12,run012,test-sg-fit/simurg-projects/run012,test-sg-fit/simurg-projects/run012/run012.json,test-sg-fit/datasets/dataset_012.csv,completed,CyberneticCore fit finished,4.380000000000109
13,run013,test-sg-fit/simurg-projects/run013,test-sg-fit/simurg-projects/run013/run013.json,test-sg-fit/datasets/dataset_013.csv,completed,CyberneticCore fit finished,4.4099999999998545
14,run014,test-sg-fit/simurg-projects/run014,test-sg-fit/simurg-projects/run014/run014.json,test-sg-fit/datasets/dataset_014.csv,completed,CyberneticCore fit finished,4.390000000000327
15,run015,test-sg-fit/simurg-projects/run015,test-sg-fit/simurg-projects/run015/run015.json,test-sg-fit/datasets/dataset_015.csv,completed,CyberneticCore fit finished,4.399999999999636
16,run016,test-sg-fit/simurg-projects/run016,test-sg-fit/simurg-projects/run016/run016.json,test-sg-fit/datasets/dataset_016.csv,completed,CyberneticCore fit finished,4.450000000000728
17,run017,test-sg-fit/simurg-projects/run017,test-sg-fit/simurg-projects/run017/run017.json,test-sg-fit/datasets/dataset_017.csv,completed,CyberneticCore fit finished,4.4399999999996
18,run018,test-sg-fit/simurg-projects/run018,test-sg-fit/simurg-projects/run018/run018.json,test-sg-fit/datasets/dataset_018.csv,completed,CyberneticCore fit finished,4.359999999999673
19,run019,test-sg-fit/simurg-projects/run019,test-sg-fit/simurg-projects/run019/run019.json,test-sg-fit/datasets/dataset_019.csv,completed,CyberneticCore fit finished,4.440000000000509
20,run020,test-sg-fit/simurg-projects/run020,test-sg-fit/simurg-projects/run020/run020.json,test-sg-fit/datasets/dataset_020.csv,completed,CyberneticCore fit finished,4.390000000000327
21,run021,test-sg-fit/simurg-projects/run021,test-sg-fit/simurg-projects/run021/run021.json,test-sg-fit/datasets/dataset_021.csv,completed,CyberneticCore fit finished,4.389999999999418
22,run022,test-sg-fit/simurg-projects/run022,test-sg-fit/simurg-projects/run022/run022.json,test-sg-fit/datasets/dataset_022.csv,completed,CyberneticCore fit finished,4.670000000000073
23,run023,test-sg-fit/simurg-projects/run023,test-sg-fit/simurg-projects/run023/run023.json,test-sg-fit/datasets/dataset_023.csv,completed,CyberneticCore fit finished,4.399999999999636
24,run024,test-sg-fit/simurg-projects/run024,test-sg-fit/simurg-projects/run024/run024.json,test-sg-fit/datasets/dataset_024.csv,completed,CyberneticCore fit finished,4.319999999999709
25,run025,test-sg-fit/simurg-projects/run025,test-sg-fit/simurg-projects/run025/run025.json,test-sg-fit/datasets/dataset_025.csv,completed,CyberneticCore fit finished,4.3400000000001455
26,run026,test-sg-fit/simurg-projects/run026,test-sg-fit/simurg-projects/run026/run026.json,test-sg-fit/datasets/dataset_026.csv,completed,CyberneticCore fit finished,4.380000000000109
27,run027,test-sg-fit/simurg-projects/run027,test-sg-fit/simurg-projects/run027/run027.json,test-sg-fit/datasets/dataset_027.csv,completed,CyberneticCore fit finished,4.470000000000255
28,run028,test-sg-fit/simurg-projects/run028,test-sg-fit/simurg-projects/run028/run028.json,test-sg-fit/datasets/dataset_028.csv,completed,CyberneticCore fit finished,4.390000000000327
29,run029,test-sg-fit/simurg-projects/run029,test-sg-fit/simurg-projects/run029/run029.json,test-sg-fit/datasets/dataset_029.csv,completed,CyberneticCore fit finished,4.399999999999636
