scenario_number,model,data,theta,RUV,RE,OCC,COVS
1,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/models/model_1c.txt,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/data/dspk-warf.csv,"Cl=0.2, Vd=20, ka=0.2",y1_constant,ka,ka,
2,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/models/model_1c.txt,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/data/dspk-warf.csv,"Cl=0.2, Vd=20, ka=0.2",y1_constant,ka,"Cl, ka",
3,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/models/model_1c.txt,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/data/dspk-warf.csv,"Cl=0.2, Vd=20, ka=0.2",y1_constant,ka,"Vd, ka",
4,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/models/model_1c.txt,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/data/dspk-warf.csv,"Cl=0.2, Vd=20, ka=0.2",y1_constant,ka,"ka, Vp",
5,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/models/model_1c.txt,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/data/dspk-warf.csv,"Cl=0.2, Vd=20, ka=0.2",y1_constant,ka,"ka, Q",
6,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/models/model_1c.txt,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/data/dspk-warf.csv,"Cl=0.2, Vd=20, ka=0.2",y1_constant,ka,"Cl, Vd, ka",
7,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/models/model_1c.txt,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/data/dspk-warf.csv,"Cl=0.2, Vd=20, ka=0.2",y1_constant,ka,"Cl, ka, Vp",
8,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/models/model_1c.txt,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/data/dspk-warf.csv,"Cl=0.2, Vd=20, ka=0.2",y1_constant,ka,"Cl, ka, Q",
9,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/models/model_1c.txt,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/data/dspk-warf.csv,"Cl=0.2, Vd=20, ka=0.2",y1_constant,ka,"Vd, ka, Vp",
10,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/models/model_1c.txt,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/data/dspk-warf.csv,"Cl=0.2, Vd=20, ka=0.2",y1_constant,ka,"Vd, ka, Q",
11,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/models/model_1c.txt,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/data/dspk-warf.csv,"Cl=0.2, Vd=20, ka=0.2",y1_constant,ka,"ka, Vp, Q",
12,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/models/model_1c.txt,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/data/dspk-warf.csv,"Cl=0.2, Vd=20, ka=0.2",y1_constant,ka,"Cl, Vd, ka, Vp",
13,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/models/model_1c.txt,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/data/dspk-warf.csv,"Cl=0.2, Vd=20, ka=0.2",y1_constant,ka,"Cl, Vd, ka, Q",
14,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/models/model_1c.txt,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/data/dspk-warf.csv,"Cl=0.2, Vd=20, ka=0.2",y1_constant,ka,"Cl, ka, Vp, Q",
15,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/models/model_1c.txt,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/data/dspk-warf.csv,"Cl=0.2, Vd=20, ka=0.2",y1_constant,ka,"Vd, ka, Vp, Q",
16,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/models/model_1c.txt,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/data/dspk-warf.csv,"Cl=0.2, Vd=20, ka=0.2",y1_constant,ka,"Cl, Vd, ka, Vp, Q",
17,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/models/model_1c.txt,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/data/dspk-warf.csv,"Cl=0.2, Vd=20, ka=0.2",y1_proportional,ka,ka,
18,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/models/model_1c.txt,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/data/dspk-warf.csv,"Cl=0.2, Vd=20, ka=0.2",y1_proportional,ka,"Cl, ka",
19,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/models/model_1c.txt,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/data/dspk-warf.csv,"Cl=0.2, Vd=20, ka=0.2",y1_proportional,ka,"Vd, ka",
20,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/models/model_1c.txt,V:/Collaborative_working/SimuRg_as_R_lib/SimuRg/scripts/nlme/1.4-sg-modbuild/data/dspk-warf.csv,"Cl=0.2, Vd=20, ka=0.2",y1_proportional,ka,"ka, Vp",
