Trial_ID,ARM_ID,TIME,Narm,ARMTYPE,TRT,Y,NAME,VARIANCE,DV_ID,tY,TDRUG_2,DOSE,ARM_ID_N,mean_Age,mean_Female,mean_Disdur,mean_mRSS,mean_FVC,mean_DLCO,Narm_DLCO,Narm_FVC,Narm_mRSS
SCLRD_001,SCLRD_001_1,4,34,comparator,Abatacept,-1.22950819672131,mRSS,3.5846015746999753,1,-7.169203149399951,placebo,0,0,51,75,1.57,22.45,85.35,70.58055555555555,0,0,34
SCLRD_001,SCLRD_001_1,26,34,comparator,Abatacept,-2.05797101449275,FVC,4.1408209108321596,2,-11.999929986493205,placebo,0,0,51,75,1.57,22.45,85.35,70.58055555555555,0,34,34
SCLRD_001,SCLRD_001_1,13,34,comparator,Abatacept,-1.63934426229508,mRSS,6.0938226769899675,1,-9.55893753253327,placebo,0,0,51,75,1.57,22.45,85.35,70.58055555555555,0,0,34
SCLRD_001,SCLRD_001_1,39,32,comparator,Abatacept,-2.58196721311475,mRSS,7.1869869563222943,1,-14.605812201558173,placebo,0,0,51,75,1.57,22.45,85.35,70.58055555555555,0,0,32
SCLRD_001,SCLRD_001_1,26,34,comparator,Abatacept,-1.96721311475409,mRSS,6.2133093961466423,1,-11.470725039039888,placebo,0,0,51,75,1.57,22.45,85.35,70.58055555555555,0,34,34
SCLRD_001,SCLRD_001_1,52,38,comparator,Abatacept,-3.7,mRSS,7.6,1,-22.808331810985212,placebo,0,0,51,75,1.57,22.45,85.35,70.58055555555555,0,37,38
SCLRD_001,SCLRD_001_1,52,37,comparator,Abatacept,-2.7,FVC,5.5,2,-16.423458831805192,placebo,0,0,51,75,1.57,22.45,85.35,70.58055555555555,0,37,38
SCLRD_001,SCLRD_001_2,13,32,treatment,Abatacept,-1.80327868852458,mRSS,5.5641189339269364,1,-10.200884712199317,Abatacept,125,1,51,75,1.57,22.45,85.35,70.58055555555555,0,0,32
SCLRD_001,SCLRD_001_2,26,33,treatment,Abatacept,-0.144927536231884,FVC,8.5752167042524032,2,-0.8325453110924677,Abatacept,125,1,51,75,1.57,22.45,85.35,70.58055555555555,0,33,33
SCLRD_001,SCLRD_001_2,26,33,treatment,Abatacept,-3.89344262295082,mRSS,5.6503894883980363,1,-22.36612505824233,Abatacept,125,1,51,75,1.57,22.45,85.35,70.58055555555555,0,33,33
