rep,ID,uid,TIME,y1,ARMTYPE,CMT,IFN
1,1,1_rep1,0,100.742,ifn alpha,.,.
1,1,1_rep1,24,66.9079,ifn alpha,.,.
1,1,1_rep1,0,.,ifn alpha,1,100
1,1,1_rep1,24,.,ifn alpha,1,100
2,1,1_rep2,0,98.9044,ifn alpha,.,.
2,1,1_rep2,24,69.0555,ifn alpha,.,.
2,1,1_rep2,0,.,ifn alpha,1,100
2,1,1_rep2,24,.,ifn alpha,1,100
3,1,1_rep3,0,101.295,ifn alpha,.,.
3,1,1_rep3,24,75.4589,ifn alpha,.,.
3,1,1_rep3,0,.,ifn alpha,1,100
3,1,1_rep3,24,.,ifn alpha,1,100
4,1,1_rep4,0,99.445,ifn alpha,.,.
4,1,1_rep4,24,63.6309,ifn alpha,.,.
4,1,1_rep4,0,.,ifn alpha,1,100
4,1,1_rep4,24,.,ifn alpha,1,100
5,1,1_rep5,0,98.3469,ifn alpha,.,.
5,1,1_rep5,24,69.056,ifn alpha,.,.
5,1,1_rep5,0,.,ifn alpha,1,100
5,1,1_rep5,24,.,ifn alpha,1,100
6,1,1_rep6,0,94.768,ifn alpha,.,.
6,1,1_rep6,24,74.851,ifn alpha,.,.
6,1,1_rep6,0,.,ifn alpha,1,100
6,1,1_rep6,24,.,ifn alpha,1,100
7,1,1_rep7,0,103.328,ifn alpha,.,.
7,1,1_rep7,24,70.503,ifn alpha,.,.
7,1,1_rep7,0,.,ifn alpha,1,100
7,1,1_rep7,24,.,ifn alpha,1,100
8,1,1_rep8,0,104.761,ifn alpha,.,.
8,1,1_rep8,24,66.8073,ifn alpha,.,.
8,1,1_rep8,0,.,ifn alpha,1,100
8,1,1_rep8,24,.,ifn alpha,1,100
9,1,1_rep9,0,100.779,ifn alpha,.,.
9,1,1_rep9,24,69.022,ifn alpha,.,.
9,1,1_rep9,0,.,ifn alpha,1,100
9,1,1_rep9,24,.,ifn alpha,1,100
10,1,1_rep10,0,103.716,ifn alpha,.,.
10,1,1_rep10,24,74.3734,ifn alpha,.,.
10,1,1_rep10,0,.,ifn alpha,1,100
10,1,1_rep10,24,.,ifn alpha,1,100
11,1,1_rep11,0,94.8069,ifn alpha,.,.
11,1,1_rep11,24,72.3977,ifn alpha,.,.
11,1,1_rep11,0,.,ifn alpha,1,100
11,1,1_rep11,24,.,ifn alpha,1,100
12,1,1_rep12,0,93.5693,ifn alpha,.,.
12,1,1_rep12,24,71.8791,ifn alpha,.,.
12,1,1_rep12,0,.,ifn alpha,1,100
12,1,1_rep12,24,.,ifn alpha,1,100
13,1,1_rep13,0,102.559,ifn alpha,.,.
13,1,1_rep13,24,71.9144,ifn alpha,.,.
13,1,1_rep13,0,.,ifn alpha,1,100
13,1,1_rep13,24,.,ifn alpha,1,100
14,1,1_rep14,0,97.2289,ifn alpha,.,.
14,1,1_rep14,24,71.2441,ifn alpha,.,.
14,1,1_rep14,0,.,ifn alpha,1,100
