rep,ID,uid,TIME,y1,IFN_dose,ARMTYPE,IFN
1,1,1_rep1,0,100.045,100,ifn alpha,.
1,1,1_rep1,24,63.591,100,ifn alpha,.
1,1,1_rep1,0,.,100,ifn alpha,100
1,1,1_rep1,24,.,100,ifn alpha,100
2,1,1_rep2,0,99.9277,100,ifn alpha,.
2,1,1_rep2,24,67.9388,100,ifn alpha,.
2,1,1_rep2,0,.,100,ifn alpha,100
2,1,1_rep2,24,.,100,ifn alpha,100
3,1,1_rep3,0,100.077,100,ifn alpha,.
3,1,1_rep3,24,79.1028,100,ifn alpha,.
3,1,1_rep3,0,.,100,ifn alpha,100
3,1,1_rep3,24,.,100,ifn alpha,100
4,1,1_rep4,0,99.9643,100,ifn alpha,.
4,1,1_rep4,24,56.5506,100,ifn alpha,.
4,1,1_rep4,0,.,100,ifn alpha,100
4,1,1_rep4,24,.,100,ifn alpha,100
5,1,1_rep5,0,99.8882,100,ifn alpha,.
5,1,1_rep5,24,67.9398,100,ifn alpha,.
5,1,1_rep5,0,.,100,ifn alpha,100
5,1,1_rep5,24,.,100,ifn alpha,100
6,1,1_rep6,0,99.5832,100,ifn alpha,.
6,1,1_rep6,24,78.1725,100,ifn alpha,.
6,1,1_rep6,0,.,100,ifn alpha,100
6,1,1_rep6,24,.,100,ifn alpha,100
7,1,1_rep7,0,100.181,100,ifn alpha,.
7,1,1_rep7,24,70.7144,100,ifn alpha,.
7,1,1_rep7,0,.,100,ifn alpha,100
7,1,1_rep7,24,.,100,ifn alpha,100
8,1,1_rep8,0,100.245,100,ifn alpha,.
8,1,1_rep8,24,63.3813,100,ifn alpha,.
8,1,1_rep8,0,.,100,ifn alpha,100
8,1,1_rep8,24,.,100,ifn alpha,100
9,1,1_rep9,0,100.047,100,ifn alpha,.
9,1,1_rep9,24,67.8731,100,ifn alpha,.
9,1,1_rep9,0,.,100,ifn alpha,100
9,1,1_rep9,24,.,100,ifn alpha,100
10,1,1_rep10,0,100.199,100,ifn alpha,.
10,1,1_rep10,24,77.4218,100,ifn alpha,.
10,1,1_rep10,0,.,100,ifn alpha,100
10,1,1_rep10,24,.,100,ifn alpha,100
11,1,1_rep11,0,99.587,100,ifn alpha,.
11,1,1_rep11,24,74.134,100,ifn alpha,.
11,1,1_rep11,0,.,100,ifn alpha,100
11,1,1_rep11,24,.,100,ifn alpha,100
12,1,1_rep12,0,99.4579,100,ifn alpha,.
12,1,1_rep12,24,73.2232,100,ifn alpha,.
12,1,1_rep12,0,.,100,ifn alpha,100
12,1,1_rep12,24,.,100,ifn alpha,100
13,1,1_rep13,0,100.144,100,ifn alpha,.
13,1,1_rep13,24,73.2859,100,ifn alpha,.
13,1,1_rep13,0,.,100,ifn alpha,100
13,1,1_rep13,24,.,100,ifn alpha,100
14,1,1_rep14,0,99.8029,100,ifn alpha,.
14,1,1_rep14,24,72.082,100,ifn alpha,.
14,1,1_rep14,0,.,100,ifn alpha,100
14,1,1_rep14,24,.,100,ifn alpha,100
15,1,1_rep15,0,100.123,100,ifn alpha,.
15,1,1_rep15,24,72.8265,100,ifn alpha,.
15,1,1_rep15,0,.,100,ifn alpha,100
15,1,1_rep15,24,.,100,ifn alpha,100
16,1,1_rep16,0,100.063,100,ifn alpha,.
16,1,1_rep16,24,73.3676,100,ifn alpha,.
16,1,1_rep16,0,.,100,ifn alpha,100
16,1,1_rep16,24,.,100,ifn alpha,100
17,1,1_rep17,0,100.188,100,ifn alpha,.
17,1,1_rep17,24,67.6095,100,ifn alpha,.
17,1,1_rep17,0,.,100,ifn alpha,100
17,1,1_rep17,24,.,100,ifn alpha,100
18,1,1_rep18,0,99.8711,100,ifn alpha,.
18,1,1_rep18,24,83.3599,100,ifn alpha,.
18,1,1_rep18,0,.,100,ifn alpha,100
18,1,1_rep18,24,.,100,ifn alpha,100
19,1,1_rep19,0,99.8789,100,ifn alpha,.
19,1,1_rep19,24,60.0958,100,ifn alpha,.
19,1,1_rep19,0,.,100,ifn alpha,100
19,1,1_rep19,24,.,100,ifn alpha,100
20,1,1_rep20,0,99.7906,100,ifn alpha,.
20,1,1_rep20,24,70.5444,100,ifn alpha,.
20,1,1_rep20,0,.,100,ifn alpha,100
20,1,1_rep20,24,.,100,ifn alpha,100
21,1,1_rep21,0,99.8141,100,ifn alpha,.
21,1,1_rep21,24,81.7236,100,ifn alpha,.
21,1,1_rep21,0,.,100,ifn alpha,100
21,1,1_rep21,24,.,100,ifn alpha,100
22,1,1_rep22,0,100.012,100,ifn alpha,.
22,1,1_rep22,24,75.1752,100,ifn alpha,.
22,1,1_rep22,0,.,100,ifn alpha,100
22,1,1_rep22,24,.,100,ifn alpha,100
23,1,1_rep23,0,99.9527,100,ifn alpha,.
23,1,1_rep23,24,68.0166,100,ifn alpha,.
23,1,1_rep23,0,.,100,ifn alpha,100
23,1,1_rep23,24,.,100,ifn alpha,100
24,1,1_rep24,0,99.987,100,ifn alpha,.
24,1,1_rep24,24,75.3253,100,ifn alpha,.
24,1,1_rep24,0,.,100,ifn alpha,100
24,1,1_rep24,24,.,100,ifn alpha,100
25,1,1_rep25,0,99.9507,100,ifn alpha,.
25,1,1_rep25,24,67.1898,100,ifn alpha,.
25,1,1_rep25,0,.,100,ifn alpha,100
25,1,1_rep25,24,.,100,ifn alpha,100
26,1,1_rep26,0,100.139,100,ifn alpha,.
26,1,1_rep26,24,62.586,100,ifn alpha,.
26,1,1_rep26,0,.,100,ifn alpha,100
26,1,1_rep26,24,.,100,ifn alpha,100
27,1,1_rep27,0,100.189,100,ifn alpha,.
27,1,1_rep27,24,72.4586,100,ifn alpha,.
27,1,1_rep27,0,.,100,ifn alpha,100
27,1,1_rep27,24,.,100,ifn alpha,100
28,1,1_rep28,0,99.8608,100,ifn alpha,.
28,1,1_rep28,24,60.9575,100,ifn alpha,.
28,1,1_rep28,0,.,100,ifn alpha,100
28,1,1_rep28,24,.,100,ifn alpha,100
29,1,1_rep29,0,99.8462,100,ifn alpha,.
29,1,1_rep29,24,72.4113,100,ifn alpha,.
29,1,1_rep29,0,.,100,ifn alpha,100
29,1,1_rep29,24,.,100,ifn alpha,100
30,1,1_rep30,0,100.19,100,ifn alpha,.
30,1,1_rep30,24,75.968,100,ifn alpha,.
30,1,1_rep30,0,.,100,ifn alpha,100
30,1,1_rep30,24,.,100,ifn alpha,100
31,1,1_rep31,0,100.168,100,ifn alpha,.
31,1,1_rep31,24,78.1252,100,ifn alpha,.
31,1,1_rep31,0,.,100,ifn alpha,100
31,1,1_rep31,24,.,100,ifn alpha,100
32,1,1_rep32,0,99.817,100,ifn alpha,.
32,1,1_rep32,24,76.2558,100,ifn alpha,.
32,1,1_rep32,0,.,100,ifn alpha,100
32,1,1_rep32,24,.,100,ifn alpha,100
33,1,1_rep33,0,99.9346,100,ifn alpha,.
33,1,1_rep33,24,64.4512,100,ifn alpha,.
33,1,1_rep33,0,.,100,ifn alpha,100
33,1,1_rep33,24,.,100,ifn alpha,100
34,1,1_rep34,0,99.9868,100,ifn alpha,.
34,1,1_rep34,24,73.1125,100,ifn alpha,.
34,1,1_rep34,0,.,100,ifn alpha,100
34,1,1_rep34,24,.,100,ifn alpha,100
35,1,1_rep35,0,100.248,100,ifn alpha,.
35,1,1_rep35,24,76.9902,100,ifn alpha,.
35,1,1_rep35,0,.,100,ifn alpha,100
35,1,1_rep35,24,.,100,ifn alpha,100
36,1,1_rep36,0,100.175,100,ifn alpha,.
36,1,1_rep36,24,81.712,100,ifn alpha,.
36,1,1_rep36,0,.,100,ifn alpha,100
36,1,1_rep36,24,.,100,ifn alpha,100
37,1,1_rep37,0,100.074,100,ifn alpha,.
37,1,1_rep37,24,72.6546,100,ifn alpha,.
37,1,1_rep37,0,.,100,ifn alpha,100
37,1,1_rep37,24,.,100,ifn alpha,100
